hash_id,adjustment_amount,reason
47769cae874dc4777019d6b809d727f0f9eb8665acfa2019bd84a05a2c950b15,164.96,"Reembolso Lledó compensa gasto Visa de 215.19"
8452eecffea4f4c6e4d8fd7c5773082664d8cd5f35fba45c18da71a0ba0675ad,71.56,"Reembolso Lledó compensa gasto Visa de 71.56"
