keyword,priority,grupo_categoria,categoria,subcategoria,entity_name
EUSKOTREN,10,Gastos Variables,Viajes,Billetes (Avión/Tren),Euskotren
FACSA,10,Gastos Fijos,Suministros,Agua,Facsa
FARMACIA BALLESTER,10,Gastos Fijos,Salud y Cuidado,Farmacia,Farmacia Ballester Badenes
FARMACIADIRECT,10,Gastos Fijos,Salud y Cuidado,Farmacia,Farmaciasdirect
FARMAFEROLES,10,Gastos Fijos,Salud y Cuidado,Farmacia,Farmaferoles
FARMAFY,10,Gastos Fijos,Salud y Cuidado,Farmacia,Farmafy
FARMATOP,10,Gastos Fijos,Salud y Cuidado,Farmacia,Farmatop
FERRETERIA ESCRIG,10,Gastos Variables,Compras,Bricolaje y Jardín,Ferreteria Escrig
FINLUX,10,Ahorro e Inversión,Inversión,Criptomonedas,Kucoin
FITZKEY KURTOSKALACS,10,Gastos Variables,Ocio y Restauración,Gastos en Destino,Fitzkey Kurtoskalacs
FLOR CENT,10,Gastos Variables,Ocio y Restauración,Cafeterías,Flor de la Vall
FNAC,10,Gastos Variables,Compras,Tecnología y Electrónica,Fnac
FOGASA,10,Ingresos,Nómina,Indemnizaciones,FOGASA
FORN GARCIA,10,Gastos Variables,Ocio y Restauración,Cafeterías,Forn García
FRIGORIFICOS SANZ,10,Gastos Fijos,Alimentación,Mercado/Tienda local,Frigorificos Sanz
G2A,10,Gastos Variables,Suscripciones,Software y Apps,G2A
G2G,10,Gastos Variables,Suscripciones,Software y Apps,G2G
GARCIA GOURMET,10,Gastos Variables,Ocio y Restauración,Cafeterías,Forn García
GENERALI SEG,10,Gastos Fijos,Seguros,Vida/Hogar,Generali Seguros
GENERALITAT VALENCIANA,10,Gastos Fijos,Impuestos y Tasas,Tasas Administrativas,Generalitat Valenciana
GEOTECNIA,10,CAPEX,Obras e Inversión,Geotécnico,Geotecnia
GEOVAL,10,CAPEX,Obras e Inversión,Geotécnico,Geotecnia
GESTOPARK,10,Gastos Variables,Transporte,Parking y Peajes,Gestopark
GLOVAL VALUATION,10,CAPEX,Trámites y Escrituras,Tasación,Gloval Valuation
GOVEE,10,Gastos Variables,Compras,Tecnología y Electrónica,Govee
HAZELNUT,10,Gastos Variables,Compras,Ropa y Accesorios,Hazelnut
HELADERIA SAN VICENTE,10,Gastos Variables,Ocio y Restauración,Heladerías y Horchaterías,Heladería San Vicente
HORCHATERIA HELADERIA IMA,10,Gastos Variables,Ocio y Restauración,Heladerías y Horchaterías,Horchatería Ima
HORCHATERIA IMA,10,Gastos Variables,Ocio y Restauración,Heladerías y Horchaterías,Horchatería Ima
IBERDROLA,10,Gastos Fijos,Suministros,Luz,Iberdrola
IKEA,10,Gastos Variables,Compras,Hogar y Decoración,Ikea
IL TONA PIZZERIA,10,Gastos Variables,Ocio y Restauración,Restaurantes y Bares,Il Tona Pizzeria
IMP DISP PT,10,CAPEX,Préstamos y Financiación,Disposición Préstamo,Bankinter
IMP INIC PT,10,CAPEX,Préstamos y Financiación,Disposición Préstamo,Bankinter
INDIA,10,Gastos Fijos,Suscripciones,Streaming,Youtube Premium
