hash_id,adjustment_type,adjustment_amount,reason
2d839ecee0650577bb0991edfe916026a586d8871657c63aea42558f81f32b80,PARTIAL_EXPENSE,164.96,Reembolso Lledó compensa gasto Visa de 215.19
8452eecffea4f4c6e4d8fd7c5773082664d8cd5f35fba45c18da71a0ba0675ad,PARTNER_EXPENSE,71.56,Reembolso Lledó compensa gasto Visa de 71.56
